Player,TotalPts,Position,rb_PriorYear_AuctionValue,rb_2015_AuctionValue,rb_2014_AuctionValue,rb_2013_AuctionValue,rb_2012_AuctionValue,rb_2011_AuctionValue,rb_2010_AuctionValue,rb_2009_AuctionValue,PriorYear_TotalPts,CareerMean_TotalPts,PriorYear_PtsPpg,CareerMean_PtsPpg,PriorYear_Availability,CareerMean_Availability,PriorYear_PlusMinus,CareerMean_PlusMinus,PriorYear_FirstHalfPlusMinus,CareerMean_FirstHalfPlusMinus,PriorYear_SecondHalfPlusMinus,CareerMean_SecondHalfPlusMinus
"Lamar Miller (HOU, RB)",160.1,rb,22.6,22.6,25.5,8.2,3.7,0.0,0.0,0.0,178.6,116.175,11.9,8.2,1.0,0.875,3.4,2.5,4.5,4.175,3.8,1.725
"Tevin Coleman (ATL, RB)",148.2,rb,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,40.6,40.6,3.4,3.4,0.8,0.8,-5.1,-5.1,-3.7,-3.7,-5.0,-5.0
"Matt Forte (NYJ, RB)",153.6,rb,20.4,20.4,51.7,52.1,51.9,40.3,41.9,20.0,151.7,183.185714286,12.6,13.0857142857,0.8,0.928571428571,4.1,9.18571428571,5.7,10.8714285714,3.9,7.74285714286
"Jeremy Hill (CIN, RB)",155.3,rb,13.1,13.1,28.4,0.0,0.0,0.0,0.0,0.0,135.8,154.35,9.1,10.3,1.0,1.0,0.5,2.75,1.7,1.2,1.0,5.1
"Isaiah Crowell (CLE, RB)",149.5,rb,9.1,9.1,12.6,0.0,0.0,0.0,0.0,0.0,113.5,112.35,7.6,7.75,1.0,0.95,-0.9,0.25,-0.7,-0.1,0.5,1.65
"Todd Gurley (LA, RB)",147.5,rb,28.8,28.8,0.0,0.0,0.0,0.0,0.0,0.0,187.6,187.6,14.4,14.4,0.9,0.9,5.9,5.9,8.9,8.9,5.2,5.2
"Jonathan Stewart (CAR, RB)",125.2,rb,17.6,17.6,15.5,1.3,12.0,20.0,11.1,27.5,146.8,106.085714286,11.3,8.4,0.9,0.8,2.8,4.52857142857,2.4,3.12857142857,5.0,5.84285714286
"Ryan Mathews (PHI, RB)",127.6,rb,9.3,9.3,7.9,28.7,23.0,42.3,11.0,0.0,102.7,116.65,8.6,9.8,0.8,0.766666666667,0.1,5.38333333333,1.6,5.66666666667,-0.2,5.65
"Terrance West (BAL, RB)",133.5,rb,0.5,0.5,7.9,0.0,0.0,0.0,0.0,0.0,18.8,51.95,2.7,4.6,0.5,0.7,-5.8,-2.9,-7.0,-3.35,-4.4,-2.1
"Theo Riddick (DET, RB)",108.8,rb,0.0,0.0,3.1,0.2,0.0,0.0,0.0,0.0,0.0,31.2,0.0,2.65,0.0,0.75,0.0,-3.0,0.0,-2.65,0.0,-3.1
"C.J. Anderson (DEN, RB)",86.5,rb,8.1,8.1,24.2,0.1,0.0,0.0,0.0,0.0,103.3,85.2333333333,7.4,6.9,0.9,0.633333333333,-1.1,0.333333333333,-1.2,-2.83333333333,0.5,2.96666666667
"Bilal Powell (NYJ, RB)",119.3,rb,7.5,7.5,0.9,9.2,12.4,0.1,0.0,0.0,88.1,58.16,8.0,4.74,0.7,0.72,-0.5,-0.28,-3.2,-1.22,3.1,0.76
"Christine Michael (IND, RB)",113.4,rb,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,13.2,0.0,2.35,0.0,0.4,0.0,-3.3,0.0,-3.15,0.0,-3.25
"Darren Sproles (PHI, RB)",106.9,rb,5.0,5.0,10.8,10.2,37.5,33.7,6.6,14.1,84.1,111.757142857,5.6,7.87142857143,1.0,0.942857142857,-2.9,4.0,-2.7,4.62857142857,-1.7,3.95714285714
"Mike Gillislee (NE, RB)",105.6,rb,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,44.8,23.45,11.2,6.15,0.3,0.2,2.7,-0.5,-7.6,-5.95,3.3,-0.25
"Giovani Bernard (CIN, RB)",83.3,rb,11.5,11.5,20.9,25.6,0.0,0.0,0.0,0.0,127.4,139.833333333,8.5,10.0333333333,1.0,0.933333333333,0.0,3.46666666667,2.4,4.7,-0.7,2.83333333333
"Matt Jones (WAS, RB)",67.3,rb,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,95.4,95.4,7.3,7.3,0.9,0.9,-1.2,-1.2,0.0,0.0,-0.7,-0.7
"Doug Martin (TB, RB)",71.5,rb,25.2,25.2,4.6,8.5,110.9,0.0,0.0,0.0,188.5,136.075,12.6,11.0,1.0,0.775,4.1,5.3,6.3,5.575,3.5,3.15
"Matt Asiata (DET, RB)",96.0,rb,0.0,0.0,18.7,1.8,0.0,0.0,0.0,0.0,0.0,53.7,0.0,4.93333333333,0.0,0.5,0.0,0.133333333333,0.0,-1.73333333333,0.0,2.0
"Tim Hightower (SF, RB)",95.9,rb,7.1,7.1,0.0,0.0,0.0,8.4,12.2,18.4,57.7,88.3,11.5,9.45,0.3,0.65,3.0,6.275,-7.6,3.875,3.6,3.9
"Chris Thompson (WAS, RB)",94.3,rb,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,55.7,27.85,4.6,2.3,0.8,0.55,-3.9,-4.3,-2.1,-3.2,-4.1,-4.5
"Duke Johnson (CLE, RB)",91.6,rb,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,98.8,98.8,6.6,6.6,1.0,1.0,-1.9,-1.9,-0.4,-0.4,-1.9,-1.9
"Jacquizz Rodgers (TB, RB)",69.9,rb,0.0,0.0,1.9,8.0,12.4,2.0,0.0,0.0,0.0,64.275,0.0,4.3,0.0,1.0,0.0,0.125,0.0,0.725,0.0,0.05
"T.J. Yeldon (JAC, RB)",87.7,rb,12.7,12.7,0.0,0.0,0.0,0.0,0.0,0.0,119.9,119.9,10.0,10.0,0.8,0.8,1.5,1.5,2.6,2.6,1.9,1.9
"Chris Ivory (JAC, RB)",74.5,rb,20.6,20.6,14.8,10.9,6.3,2.1,13.6,0.0,164.6,90.55,11.8,7.91666666667,0.9,0.683333333333,3.3,3.51666666667,7.7,1.98333333333,1.2,4.25
"Jerick McKinnon (MIN, RB)",80.4,rb,2.4,2.4,5.9,0.0,0.0,0.0,0.0,0.0,57.6,62.45,3.8,4.95,1.0,0.85,-4.7,-2.55,-5.9,-3.2,-2.2,-1.0
"Thomas Rawls (SEA, RB)",55.1,rb,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,118.6,118.6,9.9,9.9,0.8,0.8,1.4,1.4,-1.2,-1.2,6.9,6.9
"Eddie Lacy (SEA, RB)",38.8,rb,10.3,10.3,46.0,40.3,0.0,0.0,0.0,0.0,116.5,176.633333333,8.3,12.2666666667,0.9,0.933333333333,-0.2,5.66666666667,-0.3,3.66666666667,1.4,8.43333333333
"Dion Lewis (NE, RB)",32.5,rb,10.8,10.8,0.0,0.0,1.1,0.0,0.0,0.0,84.2,33.3666666667,12.0,5.0,0.5,0.533333333333,3.5,0.366666666667,5.6,0.433333333333,-2.6,-1.56666666667
"Alfred Blue (HOU, RB)",46.0,rb,6.1,6.1,4.5,0.0,0.0,0.0,0.0,0.0,86.3,77.4,6.6,5.6,0.9,0.95,-1.9,-1.95,-2.0,-2.15,0.0,-0.6
"Fozzy Whittaker (CAR, RB)",46.2,rb,0.0,0.0,1.6,0.8,0.0,0.0,0.0,0.0,0.0,27.05,0.0,3.1,0.0,0.65,0.0,-2.55,0.0,1.25,0.0,-2.95
